Callsign	On Air Name	State	City	Postcode	Community of Interest	Website
1ART	ArtSound FM 92.7|90.3	ACT	MANUKA	2603	Fine Music	http://artsound.fm
1CMS	CMS Radio FM 91.1	ACT	WESTON CREEK	2611	Ethnic	http://www.cmsradio.org.au
1RPH	Radio 1RPH	ACT	GUNGAHLIN	2912	People with a Print Disability	http://www.radio1rph.org.au
1VFM	Valley FM 89.5	ACT	ERINDALE CENTRE	2903	General	http://www.valleyfm.com/
1WAY	1WAY FM	ACT	FYSHWICK	2609	Religious - Christian	http://www.1wayfm.com.au/
1XXR	2 Double X (2XX FM)	ACT	CIVIC	2601	General	http://www.2xxfm.org.au
Online Only	UCFM	ACT	BRUCE	2617	Student / Youth	http://www.ucfm.com.au/
	Radio Dungog 107.9FM	NSW	DUNGOG	2420	General	https://radiodungog.org/
	Bucketts Radio 104.1 FM	NSW	GLOUCESTER	2422	General	http://buckettsradio.com.au/
	Lord Howe Island Radio Station	NSW	LORD HOWE ISLAND	2898	General	https://www.facebook.com/p/Radio-Lord-Howe-Island-The-Shack100063505209758/
	Wilcannia River Radio	NSW	DUBBO EAST	2830	Indigenous	https://redie.org.au/what-we-do/programs/wilcannia-river-radio
2AAA	2AAA	NSW	WAGGA WAGGA	2650	General	https://tripleafm.net.au/
2AIR	2AIR FM	NSW	COFFS HARBOUR	2450	General	http://www.2airfm.com.au
2ARM	Armidale Community Radio - 2ARM FM92.1	NSW	ARMIDALE	2350	General	http://www.2arm.net.au
2BAB	Bay & Basin 92.7FM	NSW	SANCTUARY POINT	2540	General	http://www.927fm.com.au
2BAR	93.7 EDGE FM	NSW	BEGA	2550	General	https://edgefm.org.au/
2BAY	BAYFM 99.9	NSW	BYRON BAY	2481	General	http://bayfm.org
2BBB	2BBB FM	NSW	BELLINGEN	2454	General	http://www.2bbb.net.au/
2BCB	Life FM Bathurst	NSW	Orange	2800	Religious - Christian	https://life-fm.com.au/
2BJG	Binjang 91.5	NSW	WELLINGTON	2820	General	http://binjangradio.net
2BLU	RBM FM - 89.1 Radio Blue Mountains	NSW	WENTWORTH FALLS	2782	General	http://www.rbm.org.au
2BOB	2BOB RADIO	NSW	TAREE	2430	General	http://www.2bobradio.org.au
2BRW	Braidwood Community Radio	NSW	Braidwood	2622	General	http://www.braidwoodradio.com.au/
2CBA	Hope 103.2	NSW	SEVEN HILLS	1730	Religious - Christian	http://www.hope1032.com.au/
2CBD	2CBD FM	NSW	GLEN INNES	2370	General	http://www.radio2cbd.com.au/
2CCB	1035FM Orange	NSW	ORANGE	2800	Religious - Christian	https://1035fm.com.au
2CCC	Coast FM 96.3	NSW	GOSFORD	2250	General	http://www.coastfm.org.au
2CCM	Todays Country 94.1	NSW	GOSFORD	2250	Specialised Music	http://www.todayscountry94one.com
2CCR	Alive905	NSW	BAULKHAM HILLS	1755	General	https://www.alive905.com.au/
2CHR	2CHR	NSW	CESSNOCK	2325	General	http://www.2chr.org
2CHY	104.1 CHY FM	NSW	COFFS HARBOUR	2450	Youth	https://www.chyfm.org.au
2COW	Casino's Own Wireless Association	NSW	CASINO WEST	2470	General	http://www.cow1079.org/
2CUZ	2CUZ FM	NSW	BOURKE	2840	Indigenous	http://2cuzfm.com/
2CVC	Loving Life FM 103.1	NSW	GRAFTON	2460	Religious - Christian	http://www.lovinglife.fm
2DCB	Dubbo 94.3	NSW	ORANGE	2800	Religious - Christian	https://943.com.au/
2DRY	2DRY FM	NSW	BROKEN HILL	2880	General	http://www.2dryfm.com/
2EAR	2EAR FM 107.5 & 102.9	NSW	MORUYA	2537	General	https://2earfm.au/
2FBI	fbi.radio	NSW	ALEXANDRIA	2016	Youth	http://fbi.radio
2GCB	2GCB	NSW	WEST GOSFORD	2250	Religious - Christian	http://www.rhemacentralcoast.com.au/
2GCR	RAMFM 103.3	NSW	GOULBURN	2580	General	https://www.ramfm.com.au
2GHR	2GHR	NSW	HOLBROOK	2644	General	http://2ghr.org.au/
2GLA	Great Lakes FM	NSW	TUNCURRY	2428	General	http://www.greatlakesfm.org.au
2GLF	89.3 2GLF	NSW	LIVERPOOL	2170	General	http://www.893fm.com.au
2HAY	2HAY FM 92.1	NSW	HAY	2711	General	http://www.2hayfm.com.au
2HHH	Triple H 100.1 FM	NSW	Hornsby	2077	General	http://www.triplehfm.com.au
2HIM	Rhema FM 89.7	NSW	TAMWORTH	2340	Religious - Christian	http://www.rhemafmtamworth.com.au/
2HWK	Pulse FM	NSW	Wollongong	2500	General	https://pulse899fm.com.au/
2KRR	KRR 98.7	NSW	KANDOS	2848	General	http://krrfm.org.au
2LIV	Pulse 94.1	NSW	CONISTON	2500	Religious - Christian	http://www.pulse941.com.au
2LND	Koori Radio	NSW	STRAWBERRY HILLS	2012	Indigenous	http://www.kooriradio.com/
2LRR	Opal FM	NSW	LIGHTNING RIDGE	2834	General	http://www.opalfm.com/
2LVR	97.9 Valley FM	NSW	FORBES	2871	General	http://valleyfm.org.au/
2MAX	MAX FM	NSW	NARRABRI	2390	General	http://www.2maxfm.com.au
2MBS	2MBS Fine Music Sydney	NSW	ST LEONARDS	2065	Fine Music	https://www.2mbsfinemusicsydney.com/
2MCE	2MCE	NSW	BATHURST	2795	General	https://2mce.org/
2MCR	Sounds of Macarthur	NSW	CAMPBELLTOWN	2560	General	http://www.soundsofmacarthur.org.au
2MFM	Muslim Community Radio	NSW	BANKSTOWN	1885	Religious - Islamic	http://www.2mfm.org
2MIA	95.1 2MIA FM	NSW	GRIFFITH	2680	General	http://www.2miafm.org.au/
2MMR	101.3 Mayhem Radio	NSW	TWEED HEADS WEST	2485	General	https://mayhemradio.com.au/
2MNO	2MNO Monaro FM	NSW	COOMA	2630	General	http://www.2mno.org.au/
2MOR	Edge 102.5 FM	NSW	Deniliquin	2710	Youth	https://edge1025.com.au/
2MTM	MTM FM 91.9	NSW	COONAMBLE	2829	General	http://www.mtmfm.org.au/
2MWM	Radio Northern Beaches	NSW	BELROSE WEST	2085	General	http://www.rnb.org.au
2NAR	2NAR	NSW	NARRANDERA	2700	General	http://www.ncradio.com.au/
2NBC	2NBC 90.1FM	NSW	KOGARAH	1485	General	https://www.901nbcfm.com.au/
2NCR	River FM - 92.9	NSW	LISMORE	2480	General	http://www.2ncr.org.au
2NIM	NIM FM 102.3	NSW	NIMBIN	2480	General	http://www.nimfm.org
2NSB	Northside Radio	NSW	CHATSWOOD	2067	General	http://northsideradio.com.au/
2NUR	2NURFM 103.7	NSW	CALLAGHAN	2308	General	http://www.2nurfm.com.au
2NVR	Nambucca Valley Radio	NSW	BOWRAVILLE	2449	General	http://www.2nvr.org.au
2OCW	FM107.5	NSW	ORANGE	2800	General	http://fm1075.com.au/
2OLD	Lake Macquarie FM 97.3	NSW	BUDGEWOI	2262	General	https://www.lakemacquariefm.com.au
2OOO	Radio 2TripleO	NSW	BURWOOD	2134	Ethnic	https://www.radio2tripleo.com.au/
2PAR	Paradise FM 101.9	NSW	BALLINA	2478	Senior	http://www.paradisefm.org.au/
2PMQ	Rhema 99.9	NSW	PORT MACQUARIE BC	2444	Religious - Christian	https://rhema999.com.au
2PSR	Port Stephens FM	NSW	SALAMANDER BAY	2317	General	http://www.psrfm.org.au
2QBN	QBN FM 96.7	NSW	QUEANBEYAN	2620	General	http://www.qbnfm.com.au
2RBR	2RBR	NSW	CORAKI	2471	General	http://www.radio889.org.au
